date_time,amount,method,id
2026-05-23 23:41:45.562253,2000.00,BALANCE,58993
2026-05-23 23:24:42.72367,4000.00,BALANCE,58986
2026-05-23 23:23:23.018429,2800.000,USDT,58985
2026-05-23 23:16:52.121886,2600.00,transa,58984
2026-05-23 22:51:16.658741,2800.000,USDT,58980
2026-05-23 22:40:14.763516,2800.000,USDT,58977
2026-05-23 22:37:22.789027,3000.00,card,58972
2026-05-23 22:06:01.794859,4000.00,BALANCE,58963
2026-05-23 21:58:12.041499,1000.00,BALANCE,58962
2026-05-23 21:51:27.342036,4000.00,BALANCE,58958
2026-05-23 21:44:20.75588,3000.00,BALANCE,58954
2026-05-23 21:43:24.9075,3000.00,BALANCE,58953
2026-05-23 21:41:49.657619,3000.00,BALANCE,58952
2026-05-23 21:34:08.162417,0.00,BALANCE,58951
